,source,relation,destination
4126,Moderna,tackle,Beta variant or
4127,Moderna,tackle,B.1.351
4128,neutralization activity,reduced by,two thirds
4129,neutralization activity,reduced by,variant
4130,claims,stating,efficacy
4131,claims,stating,vaccine
4132,claims,preventing,illness
4133,claims,preventing,variant
4134,activity,neutralizing,sera
4135,activity,neutralizing,patients vaccinated
4136,activity,neutralizing,Pfizer vaccines
4137,activity,neutralizing,Beta
4138,activity,confirmed by,several studies
4139,vaccinated participants,see,cases
4140,six of nine infections,see,placebo control group
4141,Johnson,hold,trials
4142,Johnson,hold,Pfizer vaccines
4143,Johnson,hold,Beta
4144,Johnson,hold,Beta vaccine
4145,Johnson,hold,South Africa
4146,level,reported In,protection
4147,level,reported In,moderate
4148,level,reported In,severe COVID-19 infection
4149,level,was,United States
4150,level,was,South Africa
4151,provisional trial data,reported On,study undertaken
4152,provisional trial data,reported On,South University
4153,provisional trial data,reported On,Witwatersrand
4154,provisional trial data,reported On,conjunction
4155,provisional trial data,reported On,Oxford University
4156,provisional trial data,reduced,efficacy
4157,provisional trial data,reduced,Oxford
4158,study,find,that
4159,study,find,sample size
4160,study,find,AZD1222 vaccine afforded
4161,study,find,minimal protection
4162,study,find,all
4163,study,find,severe cases
4164,study,find,COVID-19
4165,Minister,planned,deployment
4166,Minister,planned,a million doses
4167,Minister,planned,vaccine
4168,about a million doses,planned,vaccine
4169,about a million doses,examine,data
4170,about a million doses,await,advice
4171,it,reported In,that
4172,it,reported In,preliminary efficacy
4173,it,reported In,Novavax vaccine
4174,it,reported In,NVX Beta
4175,it,reported In,mild COVID-19
4176,WHO,retained with,efficacy effectiveness
4177,WHO,retained with,disease
4178,WHO,retained with,Gamma
4179,WHO,retained with,CoronaVac and
4180,WHO,retained with,BBIBP data
4181,WHO,retained with,other vaccines
4182,vaccines,end by,pandemic
4183,vaccines,preventing,asymptomatic infection
4184,vaccines,retained,antibody neutralization
4185,vaccines,retained,Gamma
4186,vaccines,retained,Oxford
4187,variant P.1 variant,know as,20J/501Y.V3
4188,variant P.1 variant,identified in,Brazil
4189,variant P.1 variant,escape,vaccination
4190,variant P.1 variant,escape,BioNTech vaccine
4191,WHO,retained with,efficacy effectiveness
4192,WHO,retained with,disease
4193,WHO,retained with,Delta
4194,WHO,retained with,Oxford
4195,WHO,retained with,AstraZeneca data
4196,WHO,retained with,other vaccines
4197,Relevant vaccines,end by,pandemic
4198,Relevant vaccines,preventing with,asymptomatic infection
4199,Relevant vaccines,preventing with,data
4200,Relevant vaccines,preventing with,other vaccines
4201,Relevant vaccines,reduced,antibody neutralization
4202,Relevant vaccines,reduced,Delta
4203,Relevant vaccines,reduced,Oxford
4204,Relevant vaccines,reduced,moderate reduction
4205,Relevant vaccines,reduced,data
4206,Relevant vaccines,reduced,other vaccines
4207,new variant,discovered in,India
4208,few detections,spread to,20 countries
4209,few detections,spread to,continents
4210,few detections,spread to,Antarctica and
4211,few detections,has,spike mutations
4212,latter two,cause,few detections
4213,latter two,avoid,antibodies
4214,variant,referred to,Double mutant
4215,variant,referred to,respect
4216,PHE,designated In,lineage B.1.617
4217,PHE,designated In,Variant
4218,PHE,designated In,investigation
4219,Public Health England,escalated On,lineage B.1.617.2
4220,Public Health England,escalated On,Variant
4221,Public Health England,escalated On,Investigation
4222,Public Health England,escalated On,Variant
4223,Public Health England,escalated On,Concern
4224,Public Health England,based on,assessment
4225,Public Health England,based on,transmissibility
4226,Public Health England,being,Alpha variant
4227,I trials,test for,safety and
4228,I trials,test for,a few dozen healthy subjects
4229,II trial,consist of,preliminary safety testing
4230,II trial,determining,effective doses
4231,Phase III trials,involve,more participants
4232,Phase III trials,involve,multiple sites
4233,Phase III trials,include,control group
4234,Phase III trials,include,test vaccine
4235,Phase III trials,prevent,disease
4236,Phase III trials,monitoring for,adverse effects
4237,Phase III trials,monitoring for,optimal dose
4238,Definition,vary between,trials
4239,Definition,vary between,different companies
4240,Definition,defining,degree
4241,Definition,defining,side effects
4242,Definition,defining,transmission
4243,vaccine,prevent,COVID‑19 infection
4244,clinical trial design,modified as,adaptive design
4245,accumulating,accumulating in,data
4246,accumulating,accumulating in,trial
4247,accumulating,provide,early insights
4248,accumulating,provide,positive efficacy
4249,accumulating,provide,treatment
4250,III clinical trials,shorten,trial durations
4251,III clinical trials,use,fewer subjects
4252,III clinical trials,expediting,decisions
4253,III clinical trials,expediting,early termination or
4254,III clinical trials,avoiding,duplication
4255,III clinical trials,avoiding,research efforts
4256,III clinical trials,enhancing,coordination
4257,III clinical trials,enhancing,design changes
4258,III clinical trials,enhancing,Solidarity trial
4259,III clinical trials,enhancing,international Solidarity locations
4260,National regulatory authorities,granted,emergency use authorizations
4261,National regulatory authorities,granted,fifteen vaccines
4262,Six,approved for,emergency or
4263,full least one WHO,recognized,stringent regulatory authority
4264,vaccines,submitted to,US Food Administration
4265,eleven,use As,adjuvants
4266,eleven,enhance,immunogenicity
4267,immunological adjuvant,formulated with,vaccine
4268,immunological adjuvant,elevate to,immune response
4269,immunological adjuvant,elevate to,antigen
4270,immunological adjuvant,elevate to,COVID‑19 virus or
4271,adjuvant,formulating,COVID‑19 vaccine candidate
4272,adjuvant,boost,adjuvant immunogenicity and
4273,adjuvant,prevent,COVID‑19 infection
4274,adjuvant,prevent,vaccinated individuals
4275,Adjuvants,used in,COVID‑19 vaccine formulation
4276,Adjuvants,be,technologies using
4277,Adjuvants,inactivated,COVID‑19 virus and
4278,Aluminum salts,know as,alum
4279,Aluminum salts,used for,licensed vaccines
4280,Aluminum salts,are,choice
4281,Aluminum salts,are,some 80 %
4282,Aluminum salts,adjuvanted,vaccines
4283,alum adjuvant,initiate,diverse molecular mechanisms
4284,alum adjuvant,enhance,immunogenicity
4285,alum adjuvant,including,release
4286,alum adjuvant,including,proinflammatory cytokines
4287,Sources,note,As
4288,Sources,note,17 June 2021
4289,billion COVID-19 vaccine doses,based on,official reports
4290,billion COVID-19 vaccine doses,based on,national health agencies collated
4291,billion COVID-19 vaccine doses,based on,World
4292,billion COVID-19 vaccine doses,based on,Data
4293,international organizations,evaluating During,distribution
4294,Individual countries,producing,vaccine
4295,Individual countries,favor,highest bidder
4296,Individual countries,favor,manufacturing
4297,Individual countries,provide to,first service
4298,Individual countries,provide to,Individual countries
4299,Individual countries,producing,vaccine own country
4300,licensed vaccines,be,people
4301,licensed vaccines,be,frontline
4302,licensed vaccines,be,healthcare
4303,licensed vaccines,having,greatest need
4304,UK,work with,20 other countries and
4305,UK,including,France
4306,UK,find,vaccine
4307,UK,share,results
4308,UK citizens,get,preferential access
4309,UK citizens,get,new COVID‑19 vaccines developed
4310,UK citizens,funded,UK universities
4311,Several companies,manufacture at,vaccine
4312,Several companies,manufacture at,low pricing
4313,Several companies,increase,prices
4314,Several companies,increase,profitability
4315,countries,build for,stock
4316,countries,build for,future needs
4317,April 2020 CEPI report,stated,Strong international coordination and
4318,April 2020 CEPI report,stated,vaccine developers
4319,stage vaccine candidates,manufactured in,sufficient quantities
4320,stage vaccine candidates,affected,areas
4321,WHO,developing,financial resources and
4322,WHO,developing,global deployment
4323,WHO,developing,effective COVID‑19 vaccines
4324,need,is,countries and
4325,successful COVID‑19 vaccines,allocated For,healthcare personnel and
4326,successful COVID‑19 vaccines,allocated For,greatest risk
4327,successful COVID‑19 vaccines,allocated For,severe illness and
4328,successful COVID‑19 vaccines,allocated For,COVID‑19 infection
4329,successful COVID‑19 vaccines,populated,impoverished people
4330,emergency committee,addressed In,concerns
4331,emergency committee,addressed In,persistent inequity
4332,emergency committee,addressed In,global vaccine distribution
4333,9 percent,live in,29 poorest countries
4334,countries,received,0.3 %
4335,countries,received,vaccines administered
4336,countries,received,May 2021
4337,2021 Brazil,vaccinated in,black people
4338,2021 Brazil,noticed,fact
4339,mortality,noticed,COVID-19
4340,mortality,is,black population
4341,Alex Azar,published On,notice
4342,Alex Azar,published On,declaration
4343,Alex Azar,published On,Emergency Act
4344,Alex Azar,published On,medical countermeasures
4345,Alex Azar,published On,COVID‑19
4346,Alex Azar,covering,vaccine
4347,Alex Azar,mitigate,COVID‑19
4348,Alex Azar,mitigate,SARS CoV-2 or
4349,declaration,preclude,liability claims alleging
4350,declaration,preclude,negligence
4351,declaration,preclude,manufacturer
4352,declaration,creating,vaccine
4353,declaration,creating,health care provider
4354,declaration,prescribing,absent willful misconduct
4355,declaration,is,United States
4356,declaration,is,1 October 2024
4357,UK government,granted In,Pfizer legal indemnity
4358,UK government,granted In,government COVID-19 UK vaccine
4359,COVID‑19 vaccines,licensed under,Conditional Marketing Authorisation
4360,COVID‑19 vaccines,exempt,manufacturers
4361,COVID‑19 vaccines,exempt,liability claims
4362,purchasing contracts,remain,vaccine manufacturers
4363,purchasing contracts,contain for,liability exemptions
4364,purchasing contracts,contain for,side effects
4365,purchasing contracts,know at,time
4366,purchasing contracts,know at,licensure
4367,Bureau,reported in,investigation
4368,unnamed officials,reported in,countries
4369,unnamed officials,reported in,such Argentina and
4370,Pfizer,demanded due,guarantees
4371,Pfizer,demanded due,costs
4372,Pfizer,demanded due,legal cases
4373,Pfizer,demanded due,adverse effects
4374,Pfizer,demanded due,form
4375,Pfizer,demanded due,liability waivers and
4376,Pfizer,demanded due,federal bank reserves
4377,Pfizer,expected from,expected
4378,Pfizer,expected from,other countries
4379,Pfizer,expected from,such US
4380,representative terms,say During,Brazil
4381,representative terms,are,other countries
4382,representative terms,are,which
4383,representative,signed with,deals
4384,vaccines,reduce,probability
4385,vaccines,reduce,infection
4386,vaccinated people,using,preventive measures
4387,vaccinated people,wear,face masks
4388,vaccinated people,wash,hands
4389,vaccinated people,infecting in,others
4390,vaccinated people,infecting in,vulnerable people
4391,vaccinated people,infecting in,areas
4392,Nations,buy,doses
4393,Nations,buy,COVID‑19 vaccine
4394,income nations,represent,14 %
4395,income nations,represent,global population
4396,income nations,represent,15 November 2020
4397,income nations,buy,51 %
4398,income nations,sell,doses
4399,income nations,buy,more doses
4400,income nations,vaccinate,income nations
4401,Tedros Adhanom Ghebreyesus,warned of,problems
4402,Tedros Adhanom Ghebreyesus,warned of,equitable distribution
4403,million 39 doses,warned of,vaccine
4404,million 39 doses,administered in,income countries
4405,25 doses,give in,income country
